appName,appName1,appDescription,category
RADIUS-acct,RADIUS-acct,Radius accounting.,remote administration
RDP,RDP,Remote Desktop Protocol provides users with a graphical interface to another computer.,remote desktop control
RealVNC,RealVNC,A VNC package that supports client and server side; and also provides cloud-based services such as chat and file transfer.,remote administration
Remote Job Service,Remote Job Service,Registered with IANA on port 71 tcp/udp.,remote administration
Remote Telnet,Remote Telnet,Remote Telnet.,remote administration
RemotePC,RemotePC,Remote desktop software.,remote administration
RFB,RFB,Remote graphical display protocol; used for VNC sessions.,remote desktop control
RJE,RJE,The process of sending jobs to Mainframe computers from remote workstations and by extension the process of receiving output from mainframe jobs at a remote workstation.,remote administration
rlogin,rlogin,Unix utility that allows remote administration from one computer to another.,remote administration
Rsupport,Rsupport,A remote management application for PC support.,remote administration
Rsupport,Rsupport,A remote management application for PC support.,remote desktop control
RustDesk,RustDesk,RustDesk is a full-featured open source remote control alternative for self-hosting and security with minimal configuration.,remote administration
RustDesk,RustDesk,RustDesk is a full-featured open source remote control alternative for self-hosting and security with minimal configuration.,remote desktop control
SCCM,SCCM,System Center Configuration Manager. Microsoft software for controlling and managing large groups of Windows computers.,remote administration
SCCM,SCCM,System Center Configuration Manager. Microsoft software for controlling and managing large groups of Windows computers.,remote desktop control
SCCM Remote Control,SCCM Remote Control,Remote control component of SCCM.,remote desktop control
Sco I2 Dialog Daemon,Sco I2 Dialog Daemon,Registered with IANA on port 360 tcp/udp.,remote administration
Scopia,Scopia,Avaya Scopia video conferencing system.,remote desktop control
SF MGMT,SF MGMT,Sourcefire Appliance Management.,remote administration
shell,shell,Remote shell; also known as rsh; a Unix utility that allows remote execution of commands.,remote desktop control
ShowMyPC,ShowMyPC,Cloud-based remote support and desktop sharing.,remote administration
ShowMyPC,ShowMyPC,Cloud-based remote support and desktop sharing.,remote desktop control
SMSP,SMSP,Storage Management Services Protocol; registered with IANA on port 413 tcp/udp.,remote desktop control
SNA Gateway,SNA Gateway,SNA Gateway Access Server enables users to exchange information and share resources between configured OpenVMS systems in DECnet and/or TCP/IP environments in a bidirectional manner.,remote administration
SoftPC,SoftPC,Software emulation of x86 hardware.,remote desktop control
SolarWinds,SolarWinds,Scalable IT Monitoring and Observability app.,remote administration
SopCast,SopCast,P2P audio and video streaming.,remote administration
Sophos RED,Sophos RED,Traffic generated betweeen Sophos Remote Ethernet Device and UTM Firewall.,remote administration
SRMP,SRMP,Spider Remote Monitoring Protocol.,remote administration
SSH,SSH,Secure Shell is a network protocol that allows data to be exchanged using a secure channel between two networked devices.,remote administration
SShell,SShell,SSL shell.,remote desktop control
Su-Mit Telnet,Su-Mit Telnet,Su-Mit Telnet Gateway.,remote administration
Sun RPC,Sun RPC,Sun RPC is a widely deployed remote procedure call system.,remote desktop control
SUPDUP,SUPDUP,The SUPDUP protocol provides for login to a remote system over a network with terminal-independent output.,remote administration
syslog,syslog,A standard for logging program messages.,remote administration
TeamViewer,TeamViewer,Remote desktop control and file transfer software.,remote desktop control
TechInline,TechInline,Website that offers remote desktop control.,remote administration
TechInline,TechInline,Website that offers remote desktop control.,remote desktop control
Telnet,Telnet,A network protocol used on the Internet or local area networks to provide a bidirectional interactive text-oriented communications facility using a virtual terminal connection.,remote administration
TELNETS,TELNETS,Telnet protocol over TLS/SSL.,remote administration
Termius,Termius,SSH client.,remote administration
Timbuktu,Timbuktu,A remote control software product developed by Motorola. Remote control software allows a user to control another computer across the local network or the Internet; viewing its screen and using its keyboard and mouse as if he or she were sitting in front of it. Timbuktu is compatible with computers running both Mac OS X and Windows.,remote administration
Timbuktu,Timbuktu,A remote control software product developed by Motorola. Remote control software allows a user to control another computer across the local network or the Internet; viewing its screen and using its keyboard and mouse as if he or she were sitting in front of it. Timbuktu is compatible with computers running both Mac OS X and Windows.,remote desktop control
TN3270,TN3270,Terminal client.,remote administration
Trilead SSH-2,Trilead SSH-2,A Java implementation of the SSH protocol.,remote administration
UiPath,UiPath,UiPath is a software platform for building automation robots to automate business processes; third-party applications; and administrative and IT tasks.,remote administration
Vagrant,Vagrant,Tool for building and managing virtual machine environments in a single flow.,remote administration
vCOM,vCOM,Virtual serial port driver.,remote administration
VMware Remote Authentication,VMware Remote Authentication,VMware Daemon for authentication of remote VMs.,remote desktop control
VMware Server Console,VMware Server Console,Management console for Cloud computing from VMWare.,remote administration
VMware vCenter client,VMware vCenter client,VMware vCenter client.,remote administration
VMware vMotion,VMware vMotion,Allows migration of one Virtual machine from one host to another.,remote desktop control
VNC,VNC,Graphical desktop sharing protocol.,remote desktop control
WebEx,WebEx,Cisco's online meeting and web conferencing application.,remote desktop control
WebEx Connect,WebEx Connect,Logging into WebEx.,remote desktop control
WinSCP,WinSCP,A free SFTP and FTP client for Windows.,remote administration
Zoho::Zoho Assist,- Zoho Assist,A remote support and remote access software.,remote desktop control
Zoom,Zoom,Remote conferencing via cloud computing.,remote desktop control
Zoom::Zoom Meeting,- Zoom Meeting,Participating in a meeting on Zoom.,remote desktop control
